Item,Price ($),Calories (kcal),Total Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Sugars (g),Protein (g)
Ranch Snack Wrap (Crispy Chicken),2.39,360,20,40,810,32,3,15
Ranch Snack Wrap (Grilled Chicken),2.43,280,13,45,720,25,2,16
Small French Fries,2.34,230,11,0,130,30,0,2
Medium French Fries,2.77,340,16,0,190,44,0,4
Large French Fries,3.57,510,24,0,290,67,0,6
Side Salad,2.46,20,0,0,10,4,2,1
Apple Slices,0.89,15,0,0,0,4,3,0
Fruit 'n Yogurt Parfait,2.12,150,2,5,70,30,23,4
Baked Apple Pie,1.09,250,13,0,170,32,13,2
Chocolate Chip Cookie,0.88,160,8,10,90,21,15,2
Hot Fudge Sundae,2.83,330,9,25,170,53,48,8
Strawberry Sundae,2.14,280,6,25,85,49,45,6
